WORD	PHONETICS
infelicity	ɪnfəlɪsəti
prescribe	prɪskraɪb
auscultate	ɔskʌlteɪt
narrower	nærəʊər
nullification	nʌlɪfɪkeɪʃən
xyletic	zaɪlɛtɪk
trephine	trɪfaɪn
calligraphy	kəlɪgrəfi
hound	haʊnd
irrespective	ɪrɪspɛktɪv
cigar	sɪgɑr
indulgence	ɪndʌldʒəns
atomical	ətɒmɪkəl
wide	waɪd
fetch	fɛtʃ
syntax	sɪntæks
argent	ɑrdʒənt
acquire	əkwaɪər
illumination	ɪluməneɪʃən
chime	tʃaɪm
touch	tʌtʃ
incontestable	ɪnkəntɛstəbəl
provocative	prəvɒkətɪv
volition	vəlɪʃən
mineralize	mɪnərəlaɪz
visible	vɪzəbəl
twinkle	twɪŋkəl
shamrock	ʃæmrɒk
opulent	ɒpjələnt
pirate	paɪrət
snarl	snɑrl
glass	glæs
type	taɪp
wicket	wɪkɪt
spin	spɪn
autograph	ɔtəgræf
octave	ɒkteɪv
menthol	mɛnθɔl
regain	rigeɪn
flash	flæʃ
week	wik
oxidizer	ɒksɪdaɪzər
speechless	spitʃlɪs
secular	sɛkjələr
analyst	ænəlɪst
retainable	rɪteɪnəbəl
resume	rɪzum
sneerer	snɪrər
cupful	kʌpfʊl
trilateral	traɪlætərəl
alphabetical	ælfəbɛtɪkəl
pamphlet	pæmflɪt
nerveless	nɜrvlɪs
aeroplane	ɛrəpleɪn
conjectural	kəndʒɛktʃərəl
criterion	kraɪtɪriən
solve	sɒlv
heckle	hɛkəl
fiendish	findɪʃ
obliterate	əblɪtəreɪt
yolk	joʊk
nurture	nɜrtʃər
slice	slaɪs
territory	tɛrɪtɔri
heedless	hidlɪs
sort	sɔrt
effuse	ɪfjuz
rejectable	rɪdʒɛktəbəl
velocipede	vəlɒsɪpid
sophism	sɒfɪzəm
collect	kəlɛkt
dun	dʌn
vision	vɪʒən
whereat	wɛrət
chip	tʃɪp
dental	dɛntəl
distortion	dɪstɔrʃən
numerical	numɛrɪkəl
convolute	kɑnvəlut
origin	ɔrɪdʒɪn
yesterday	jɛstərde
sick	sɪk
vagrancy	vegrənsi
hue	hju
stenography	stəˈnɑgrəfi
fig	fɪg
detail	ditel
clement	klɛmənt
sentimental	sɛntɪmɛntəl
characterize	kærəktəraɪz
allspice	ɔlspaɪs
meteor	mitiər
flippancy	flɪpənsi
bushel	bʊʃəl
ripple	rɪpəl
ramrod	ræmrɑd
bowl	bol
triangle	traɪæŋgəl
centrode	sɛntrod
defaulter	dɪfɔltər
zincification	zɪŋkɪfɪkeʃən
quakingly	kweikɪŋli
comparative	kəmpærətɪv
felon	fɛlən
vacuity	vækjuəti
vinegar	vɪnəgər
skipper	skɪpər
pedant	pɛdənt
undulate	ʌndjulet
incident	ɪnsɪdənt
indict	ɪndaɪt
pyramid	pɪrəmɪd
ancestorial	ænsɛstoriəl
congruous	kɑŋgruəs
blotter	blɑtər
correction	kərɛkʃən
beauty	bjuti
solstice	sɑlstɪs
redden	rɛdən
abduction	æbdʌkʃən
schooner	skunər
hobble	hɑbəl
complicate	kɑmplɪket
hull	hʌl
delta	dɛltə
anniversary	ænəvɜrsəri
archaeography	ɑrkiɑgrəfi
furbish	fɜrbɪʃ
dandelion	dændəlaɪən
tense	tɛns
rewarder	rɪwɔrdər
smoke	smoʊk
burglary	bɜrgləri
otology	oʊtɑlədʒi
factious	fækʃəs
intolerance	ɪntɑlərəns
dungeon	dʌndʒən
mildness	maɪldnəs
tranquilization	træŋkwələzeɪʃən
location	loʊkeɪʃən
viand	vaɪənd
purify	pjʊrɪfaɪ
teutonic	tuːtɑnɪk
absurdity	æbsɜrdəti
fungus	fʌŋgəs
receiver	rɪsivər
herculean	hɜrkjəliən
conciliatory	kənsɪliətɔri
reconsider	rikənsɪdər
turn	tɜrn
irreparability	ɪrɛpərəbɪləti
ascend	əsɛnd
whey	weɪ
justify	dʒʌstɪfaɪ
supposition	sʌpəzɪʃən
task	tæsk
yeast	jist
upkeep	ʌpkip
observer	əbzɜrvər
debt	dɛt
jasper	dʒæspər
collaborate	kəlæbəreɪt
adulteration	ədʌltəreɪʃən
tremor	trɛmər
celibacy	sɛləbəsi
slot	slɑt
toiler	tɔɪlər
convulsion	kənvʌlʃən
annunciator	ənʌnʃieɪtər
suitable	sutəbəl
amaze	əmeɪz
february	fɛbruɛri
chloral	klɔrəl
italic	ɪtælɪk
tallow	tæloʊ
sisterhood	sɪstərhʊd
terrorize	tɛrəraɪz
terminus	tɜrmɪnəs
vestry	vɛstri
urchin	ɜrtʃɪn
vignette	vɪnjɛt
distend	dɪstɛnd
puzzlement	pʌzəlmənt
sneeze	sniz
thenceforth	ðɛnsfɔrθ
victual	vɪtəl
front	frʌnt
observance	əbzɜrvəns
verbosity	vɜrbɑsɪti
calculable	kælkjələbəl
rabbinical	rəbɪnɪkəl
anarchical	ænɑrkɪkəl
bard	bɑrd
administratrix	ədmɪnɪstreɪtrɪks
quanchable	kwɑntʃəbəl
desideration	dɪsɪdəreɪʃən
steamboat	stimboʊt
sighted	saɪtɪd
bacteria	bæktɪriə
wilt	wɪlt
patentee	peɪtənti
jail	dʒeɪl
plutocratic	plutəkrætɪk
technical	tɛknɪkəl
unfortunate	ʌnfɔrtʃənət
cash	kæʃ
hangar	hæŋər
contentment	kəntɛntmənt
fixture	fɪkstʃər
jolliness	dʒɑlinəs
catch	kætʃ
frame	freɪm
gloss	glɑs
knead	nid
genus	dʒinəs
capsular	kæpsjələr
directorate	dərɛktərət
keynote	kinoʊt
arbitrary	ɑrbɪtrɛri
introspect	ɪntrəspɛkt
sunlight	sʌnlaɪt
sanctification	sæŋktɪfɪkeɪʃən
appropriable	əproʊpriəbəl
suspire	səspaɪr
castaway	kæstəweɪ
regal	rigəl
asunder	əsʌndər
beatific	biətɪfɪk
syllable	sɪləbl
desecration	desəkreɪʃən
valentine	væləntaɪn
teaspoonful	tispunfʊl
long	lɔŋ
amazon	æməzɑn
stabilize	steɪbəlaɪz
concoctive	kənkɑktɪv
fermentation	fərmənteɪʃən
cuticular	kjutɪkjələr
whist	wɪst
chasten	tʃeɪsən
reproach	rɪprotʃ
elegant	ɛləgənt
timetable	taɪmteɪbl
aeronaut	ɛərənɔt
philosophical	fɪləsɑfɪkəl
citrate	sɪtreɪt
meddlesome	mɛdlsəm
stubble	stʌbl
quartet	kwɔrtɛt
quail	kweɪl
delicious	dɪlɪʃəs
dentist	dɛntɪst
contemptible	kəntɛmptəbl
stark	stɑrk
demented	dɪmɛntɪd
codicil	kɑdəsɪl
skittish	skɪtɪʃ
spartan	spɑrtən
slyness	slaɪnəs
mirthful	mərθfʊl
rejoinder	rɪdʒɔɪndər
lightly	laɪtli
bazaar	bəzɑr
parsimonious	pɑrsəmoʊniəs
restitution	rɛstɪtuʃən
freshet	frɛʃət
connect	kənɛkt
demagogue	dɛməgɑg
rice	raɪs
duskiness	dʌskinəs
brawniness	brɔninəs
limit	lɪmɪt
impromptu	ɪmprɑmptu
explanatory	ɪksplænətɔri
supremacy	suprɛməsi
cadence	keɪdəns
lotus	loʊtəs
blanket	blæŋkɪt
hermit	hɜrmɪt
conquest	kɑŋkwɛst
bulb	bʌlb
perfection	pərfɛkʃən
inflexibility	ɪnflɛksəbɪləti
tectonic	tɛktɑnɪk
liken	laɪkən
critic	krɪtɪk
westerly	wɛstərli
deceit	dɪsit
limitable	lɪmɪtəbəl
buckeye	bʌkaɪ
monarchy	mɑnərki
surmise	sərmaɪz
successful	səksɛsfəl
hurricane	hɜrəkeɪn
too	tu
duress	dʊrɛs
stand	stænd
massiveness	mæsɪvnəs
veneration	vɛnəreɪʃən
chin	tʃɪn
argument	ɑrgjumənt
circumvolve	sɜrkəmvɑlv
cough	kɔf
velveteen	vɛlvətin
scuffle	skʌfəl
oppositive	əpɑzətɪv
lung	lʌŋ
prohibitionist	proʊhɪbɪʃənɪst
secession	sɪsɛʃən
cheese	tʃiz
lilac	laɪlæk
accustom	əkʌstəm
hood	hʊd
imperiousness	ɪmpɪriəsnəs
fictitious	fɪktɪʃəs
penman	pɛnmæn
superabundance	supərəbʌndəns
radicalness	rædɪkəlnəs
amusingly	əmjuzɪŋli
predecessor	prɛdəsɛsər
intereference	ɪntərfɪrəns
omit	oʊmɪt
jurist	dʒʊrɪst
mottle	mɑtəl
educe	idus
protuberant	prətubrənt
proneness	pronnis
gulf	gʌlf
cube	kjub
troche	troki
beckon	bɛkən
disinfectant	dɪsɪnfɛktənt
bumptious	bʌmpʃəs
minutely	mɪnutli
custard	kʌstərd
catechetical	kætəkɛtɪkəl
editor	ɛdɪtər
spaghette	spəgɛti
saturation	sætʃəreɪʃən
adduct	ədʌkt
chauffeur	ʃoʊfər
personnel	pɜrsənɛl
hoary	hɔri
hillock	hɪlək
ice	aɪs
otherwise	ʌðərwaɪz
outermost	aʊtərmoʊst
linger	lɪŋgər
resurrection	rɛzərɛkʃən
shatter	ʃætər
conformist	kənfɔrmɪst
henceforth	hɛnsfɔrθ
laxity	læksəti
undeviating	ʌndivieɪtɪŋ
counselorship	kaʊnsələrʃɪp
distaste	dɪsteɪst
incapacitate	ɪnkəpæsɪteɪt
unvaried	ʌnvɛrid
spiteful	spaɪtfəl
expurgate	ɛkspərgeɪt
inefficacious	ɪnɛfəkeɪʃəs
rostrum	rɑstrəm
charlatan	ʃɑrlətən
albatross	ælbətrɔs
turtle	tɜrtəl
feminine	fɛmənɪn
between	bətwin
ponder	pɑndər
represent	rɛprɪzɛnt
jaw	dʒɔ
bellow	bɛloʊ
never	nɛvər
breathe	brið
cry	kraɪ
serpent	sɝpənt
presuppose	prisəpoʊz
visit	vɪzɪt
insect	ɪnsɛkt
hygiene	haɪdʒin
sickness	sɪknəs
magazine	mægəzin
villainous	vɪlənəs
preoccupancy	prioʊkjupənsi
categorical	kætəgɔrɪkəl
dishonor	dɪsɑnɚ
orotund	ɔrətʌnd
cortege	kɔrtɛʒ
conditionality	kəndɪʃənæləti
gamble	gæmbəl
vicar	vɪkɚ
noon	nun
mutation	mjuteɪʃən
atheism	eɪθiɪzəm
checker	tʃɛkɚ
poverty	pɑvɚti
monlogue	mɑnəlɔg
animosity	ænəmɑsəti
nimbleness	nɪmbəlnəs
generality	dʒɛnəræləti
since	sɪns
analogical	ænəlɑdʒɪkəl
outside	aʊtsaɪd
helmet	hɛlmət
compliment	kɑmpləmənt
heave	hiv
complacence	kəmpleɪsəns
modifiable	mɑdɪfaɪəbəl
tint	tɪnt
slit	slɪt
huddle	hʌdəl
gift	gɪft
vista	vɪstə
summon	sʌmən
delinquent	dəlɪŋkwənt
honest	ɑnəst
pang	pæŋ
bite	baɪt
foremost	fɔrmoʊst
sarcastically	sɑrkæstɪkəli
dissuade	dɪsweɪd
plenary	plinɛri
retribution	rɛtrəbjuʃən
masterful	mæstɚfəl
inquire	ɪnkwaɪɚ
suburb	sʌbɜrb
incorrigible	ɪnkɔrɪdʒəbəl
capture	kæptʃər
adoration	ædəreɪʃən
monopolize	mənɑpəlaɪz
auctioneer	ɔkʃənɪr
crockery	krɑkəri
piecemeal	pismil
heap	hip
prudent	prudənt
janitress	dʒænɪtrəs
quoth	kwoʊθ
inimical	ɪnɪmɪkəl
corsage	kɔrsɑʒ
crudeness	krudnəs
impenetrability	ɪmpɛnətrəbɪləti
deaconess	dikənəs
stammer	stæmər
integrate	ɪntəgreɪt
term	tɜrm
vacuum	vækjum
venture	vɛntʃər
informality	ɪnfɔrməlɪti
bang	bæŋ
bough	baʊ
demonetize	dimɑnətaɪz
mrs	mɪsɪz
terrible	tɛrəbəl
catastrophe	kətæstrəfi
manikin	mænɪkɪn
ruggedly	rʌgɪdli
vouchee	vaʊtʃi
aphrodite	æfrədaɪti
levity	lɛvɪti
concourse	kɑnkɔrs
ready	rɛdi
alder	ɔldər
goody	gʊdi
whale	weɪl
slyly	slaɪli
roar	rɔr
divisible	dɪvɪzəbəl
jollity	dʒɑləti
syndical	sɪndɪkəl
fury	fjʊri
pragmatic	prægmætɪk
nationalize	næʃənəlaɪz
calisthenics	kæləsθɛnɪks
camera	kæmərə
cackle	kækəl
induce	ɪnˈdus
gingham	ˈɡɪŋəm
selfrestraint	sɛlfɹɪˈstɹeɪnt
remissness	ɹɪˈmɪsnəs
justice	ˈdʒʌstɪs
application	æplɪˈkeɪʃən
inseparable	ɪnˈsɛpəɹəbəl
certify	ˈsɜɹtɪfaɪ
besmirch	bɪˈsmɜɹtʃ
parole	pəˈɹoʊl
oriole	ˈɔɹioʊl
merriment	ˈmɛɹɪmənt
grass	ɡɹæs
volitive	ˈvɒlɪtɪv
tragedy	ˈtɹædʒədi
vineyard	ˈvɪnjɜɹd
ordinal	ˈɔɹdənəl
security	səˈkjʊɹəti
authorize	ˈɔθəɹaɪz
pickel	ˈpɪkəl
completion	kəmˈpliʃən
betrayal	bɪˈtɹeɪəl
dense	dɛns
trick	tɹɪk
proof	pɹuf
misguide	mɪsˈɡaɪd
rubric	ˈɹubɹɪk
perishability	pɛɹɪʃəˈbɪləti
believe	bəˈliv
chalk	tʃɔk
the	ðə
debilitation	dɪbɪlɪˈteɪʃən
familiarization	fəmɪliəɹəˈzeɪʃən
unwieldy	ʌnˈwildi
farce	fɑɹs
ship	ʃɪp
hippopotamous	hɪpəˈpɒtəməs
like	laɪk
cyclopedia	saɪkləˈpidiə
perforator	ˈpɜɹfəɹeɪtɜɹ
acridity	əˈkɹɪdəti
soft	sɔft
incommensurable	ɪnkəˈmɛnʃəɹəbəl
rudder	ˈɹʌdɜɹ
regular	ˈɹɛɡjəlɜɹ
defiant	dɪˈfaɪənt
vociferation	voʊsɪfəˈɹeɪʃən
clip	klɪp
thrust	θɹʌst
mobilize	ˈmoʊbəlaɪz
partnership	pɑrtnərʃɪp
reside	rɪzaɪd
hauteur	oʊtɜr
nectar	nɛktər
garb	gɑrb
courageous	kəreɪdʒəs
cobblestone	kɑbəlstoʊn
invariable	ɪnvɛəriəbəl
celery	sɛləri
falchion	fɔlʃən
obviation	ɑbviɛɪʃən
merited	mɛrɪtɪd
dross	drɔs
land	lænd
ostracism	ɑstrəsɪzəm
illustriousness	ɪləstriəsnəs
muddiness	mədɪnəs
carnal	kɑrnəl
mushroom	mʌʃrum
maneuver	mənuvər
temporal	tɛmpərəl
version	vɜrʒən
biceps	baɪsɛps
riches	rɪtʃəz
extraction	ɪkstrækʃən
cooperate	koʊɑpəreɪt
stupor	stupər
momentarily	moʊmənterəli
interior	ɪntɪriər
shop	ʃɑp
behavior	bɪheɪvjər
stowage	stoʊɪdʒ
decorator	dɛkəreɪtər
inadequate	ɪnædɪkwət
biographic	baɪəgræfɪk
tuft	tʌft
atmosphere	ætməsfɪr
suppliant	səplaɪənt
yuletide	julaɪtaɪd
despair	dɪspɛr
privation	praɪveɪʃən
instill	ɪnstɪl
election	ɪlɛkʃən
west	wɛst
millionaire	mɪljəneɪr
caffeine	kæfin
altogether	ɔltəgɛðər
patrician	pətrɪʃən
jardiniere	ʒɑrdɪnɪr
prerogative	prɪrɑgətɪv
risky	rɪski
gamut	gæmət
innocence	ɪnəsəns
bog	bɑg
subtile	sʌbtaɪl
attempt	ətempt
truce	trus
audacious	ɔdeɪʃəs
desert	dezərt
tolerance	tɑlərəns
austerity	ɔsterəti
showroon	ʃoʊrum
barrier	bæriər
play	pleɪ
tactless	tæktləs
rebel	rebəl
comedian	kəmidiən
masquerade	mæskəreɪd
nor	nɔr
clatter	klætər
ardent	ɑrdənt
flint	flɪnt
forget	fərget
warehouseman	wɛrhaʊsmən
worthy	wɜrði
determinedly	dɪtɜrmɪndli
transgress	trænzgres
circulator	sɜrkjəleɪtər
swain	sweɪn
firmness	fɜrmnəs
lie	laɪ
occur	əkɜr
ruffian	rʌfiən
wren	ren
nobleness	noʊbəlnəs
spool	spul
date	deɪt
legate	legət
warble	wɔrbəl
prodigal	prɑdɪgəl
fructification	frʌktɪfɪkeɪʃən
alteration	ɔltəreɪʃən
wicker	wɪkər
scallop	skæləp
hesitatingly	hezɪteɪtɪŋli
gay	geɪ
petulance	petʃələns
dexterity	deksterəti
malice	mælɪs
decrepitude	dɪkrepɪtud
weather	wɛðər
support	səpɔrt
boost	bust
paraphernalia	pærəfərneɪliə
indefatigability	ɪndɪfætɪgəbɪlɪti
polity	pɑlɪti
ulcerous	ʌlsərəs
unread	ʌnrɛd
lacerate	læsəreɪt
cartographic	kɑrtəgræfɪk
magnetization	mægnətaɪzeɪʃən
attachment	ətætʃmənt
navigator	nævɪgeɪtər
jilt	dʒɪlt
taxidermy	tæksɪdərmi
amazement	əmeɪzmənt
adverb	ædvərb
amiss	əmɪs
staidness	steɪdnəs
whoever	huɛvər
select	səlɛkt
repugnant	rɪpʌgnənt
paragon	pærəgɑn
zootomy	zuɑtəmi
feudalism	fjudəlɪzəm
unabridged	ʌnəbrɪdʒd
hogshead	hɑgzhɛd
vocal	voʊkəl
couch	kaʊtʃ
democratic	dɛməkrætɪk
satisfactory	sætɪsfæktəri
promissory	prɑmɪsəri
postal	poʊstəl
samovar	sæməvɑr
propitiation	prəpɪʃieɪʃən
annoy	ənɔɪ
bible	baɪbəl
obligation	ɑblɪgeɪʃən
edit	ɛdɪt
retract	rɪtrækt
analogous	ənæləgəs
generosity	dʒɛnərɑsɪti
nobility	noʊbɪlɪti
ballast	bæləst
blight	blaɪt
sunshine	sʌnʃaɪn
tyrant	taɪrənt
presidency	prɛzɪdənsi
legislative	lɛdʒɪsleɪtɪv
homeward	hoʊmwərd
thereto	ðɛrtu
screech	skritʃ
velvety	vɛlvəti
lurk	lɜrk
millenial	mɪlɛniəl
franchise	fræntʃaɪz
promenade	prɑməneɪd
slattern	slætərn
aristocracy	ærɪstɑkrəsi
star	stɑr
substantiate	səbstænʃieɪt
hide	haɪd
spellbound	spɛlbaʊnd
relish	rɛlɪʃ
inviolable	ɪnvaɪələbəl
quarryman	kwɑrimæn
serenity	sərɛnɪti
text	tɛkst
agrarian	əgrɛriən
picayune	pɪkəjun
annotation	ænəteɪʃən
figure	fɪgjər
obloquy	ɑbləkwi
irrigation	ɪrɪgeɪʃən
surely	ʃʊrli
midget	mɪdʒɪt
sheathe	ʃið
lent	lɛnt
elixir	ɪlɪksər
own	oʊn
inrement	ɪnkrəmənt
knee	ni
trinity	trɪnɪti
continuous	kəntɪnjuəs
verbena	vərbiːnə
confederate	kənfɛdərət
aborigines	æbərɪdʒəniz
hemmed	hɛmd
beneficial	bɛnəfɪʃəl
triform	traɪfɔrm
usage	jusɪdʒ
upholster	əphoʊlstər
drizzle	drɪzəl
avow	əvaʊ
bounteous	baʊntiəs
web	wɛb
governess	gʌvərnəs
know	noʊ
vigor	vɪgər
lynx	lɪŋks
combinable	kəmbaɪnəbəl
honeyed	hʌnid
domino	dɑmɪnoʊ
perverse	pərˈvɜrs
category	kætəgɔri
cheapness	tʃipnəs
vitalization	vaɪtəlaɪzeɪʃən
omnibus	ɑmnɪbəs
untrodden	ʌntrɑdən
pestilent	pɛstɪlənt
conjuncture	kəndʒʌŋktʃər
antimony	æntɪmoʊni
peace	pis
personate	pɜrsəneɪt
mustache	məstæʃ
shriek	ʃrik
storm	stɔrm
altruism	æltruɪzəm
hereafter	hɪræftər
felonious	fəloʊniəs
sacrilegious	sækrəlɪdʒəs
scale	skeɪl
bungle	bʌŋgəl
narrow	næroʊ
strain	streɪn
drink	drɪŋk
dissatisfy	dɪsætɪsfaɪ
aperient	əpɪriənt
bayonet	beɪənɛt
brush	brʌʃ
tabulate	tæbjəleɪt
also	ɔlsoʊ
fizzle	fɪzəl
periscope	pɛrɪskoʊp
memoirist	mɛmwɑrɪst
predict	prɪdɪkt
motely	moʊtli
felony	fɛləni
labiel	leɪbiəl
credential	krɪdɛnʃəl
funereal	fjunɪriəl
seedy	sidi
modest	mɑdɪst
participant	pɑrtɪsɪpənt
cantillate	kæntɪleɪt
fester	fɛstər
sulphur	sʌlfər
bride	braɪd
digestive	daɪdʒɛstɪv
mania	meɪniə
trough	trɔf
misapprehension	mɪsæprɪhɛnʃən
portionless	pɔrʃənlɪs
deck	dɛk
attendant	ətɛndənt
relevance	rɛləvəns
disbandment	dɪsbændmənt
cocaine	kokeɪn
heretofore	hɪrtəfɔr
gouge	gaʊdʒ
crematory	kriməˌtɔri
convulsive	kənvʌlsɪv
miscreant	mɪskriənt
itch	ɪtʃ
disrespect	dɪsrɪspɛkt
contagion	kəntedʒən
exploration	ɛkspləreɪʃən
duck	dʌk
profess	prəfɛs
horoscope	hɔrəskoʊp
compactness	kəmpæktnɪs
ordeal	ɔrdiəl
creative	krieɪtɪv
squeal	skwil
unlikely	ʌnlaɪkli
landward	lændwərd
toboggan	təbɑgən
irritable	ɪrɪtəbəl
lord	lɔrd
rigor	rɪgər
ulcer	ʌlsər
centenarian	sɛntəˌnɛriən
viticultural	vɪtɪkʌltʃərəl
braggart	brægərt
intimation	ɪntɪmeɪʃən
debit	dɛbɪt
luckiness	lʌkinɪs
telegraphy	təlɛgrəfi
widower	wɪdoʊər
iodoform	aɪoʊdəfɔrm
dejection	dɪdʒɛkʃən
clannish	klænɪʃ
compiler	kəmpaɪlər
woeful	woʊfəl
painter	peɪntər
humidity	hjumɪdɪti
frenzied	frɛnzid
pretention	prɪtɛnʃən
salivation	sælɪveɪʃən
blow	bloʊ
commandment	kəmændmənt
refreshment	rɪfrɛʃmənt
dune	dun
continental	kɒntɪnɛntəl
mimicry	mɪmɪkri
paramount	pærəmaʊnt
habitant	hæbɪtənt
apostle	əpɒsəl
serenade	sɛrəneɪd
abomination	əbɒmɪneɪʃən
choke	tʃoʊk
prance	præns
sail	seɪl
lender	lɛndər
arithmetic	ərɪθmətɪk
repertoire	rɛpərtwɑr
budget	bʌdʒɪt
shelterless	ʃɛltərlɛs
galvanize	gælvənaɪz
smolder	smoʊldər
accession	æksɛʃən
fought	fɔt
masculine	mæskjəlɪn
substantial	səbstænʃəl
unappreciative	ʌnəpriʃiətɪv
fret	frɛt
alchemy	ælkəmi
boldness	boʊldnəs
abstinence	æbstɪnəns
labyrinth	læbərɪnθ
feasible	fizəbəl
acclamation	ækləmeɪʃən
ebony	ɛbəni
scholar	skɑlər
outstanding	aʊtstændɪŋ
meteric	mɪtɛrɪk
chirology	kaɪrɒlədʒi
brow	braʊ
paleness	peɪlnəs
stanza	stænzə
ignore	ɪgnɔr
conviviality	kənvɪviæləti
affect	əfɛkt
flue	flu
ruin	ruɪn
sonorous	sənɔrəs
projectile	prədʒɛktaɪl
manufactory	mænjəfæktəri
bide	baɪd
sonnet	sɒnɪt
argonaut	ɑrɡənɔt
melancholy	mɛlənkɑli
rejoice	rɪdʒɔɪs
redoubtable	rɪdaʊtəbəl
outlet	aʊtlɛt
withhold	wɪðhoʊld
display	dɪspleɪ
sapling	sæplɪŋ
effectually	ɪfɛktʃuəli
prepossesingly	pripɑsɛsɪŋli
initial	ɪnɪʃəl
gill	ɡɪl
ferule	fɛrul
comprehensible	kɑmprɪhɛnsəbəl
seasonless	sizənlɪs
indicator	ɪndɪkeɪtər
camp	kæmp
shrinkage	ʃrɪŋkɪdʒ
constrainable	kənstreɪnəbəl
jonquil	dʒɑŋkwɪl
tinsel	tɪnsəl
fulsome	fʊlsəm
ride away	raɪd əweɪ
demonstrability	dɛmɑnstrəbɪlɪti
height	haɪt
insurance	ɪnʃurəns
impend	ɪmpɛnd
apprentice	əprɛntɪs
lyric	lɪrɪk
speedy	spidi
submissive	səbmɪsɪv
guise	ɡaɪz
afford	əfɔrd
bias	baɪəs
goal	ɡoʊl
intermitent	ɪntərmɪtənt
river	rɪvər
harmonize	hɑrmənaɪz
charybdis	kərɪbdɪs
holder	hoʊldər
facile	fæsəl
chaperon	ʃæpərɑn
fluctuation	flʌktʃueɪʃən
obscurity	əbskjʊrɪti
torture	tɔrtʃər
methodist	mɛθədɪst
convolve	kənvɑlv
plot	plɑt
borrow	bɑroʊ
propeller	prəpɛlər
historian	hɪstɔriən
juggle	dʒʌgəl
causation	kɔzeɪʃən
spurious	spjʊriəs
armory	ɑrməri
cubic	kjubɪk
gangway	gæŋweɪ
plastic	plæstɪk
variegate	vɛriəgeɪt
quick	kwɪk
noose	nus
surgical	sɜrdʒɪkəl
progeny	prɑdʒəni
most	moʊst
swordfish	sɔrdfɪʃ
caller	kɔlər
arbitration	ɑrbɪtreɪʃən
electroplate	ɪlɛktroʊpleɪt
solid	sɑlɪd
crust	krʌst
companionship	kəmpænjənʃɪp
issue	ɪʃu
sohpomore	sɑfəmɔr
shuffling	ʃʌflɪŋ
continuity	kɑntənutɪ
officiate	əfɪʃieɪt
lieu	lu
tractile	træktaɪl
proud	praʊd
assignment	əsaɪnmənt
falsification	fɔlsɪfɪkeɪʃən
insinuation	ɪnsɪnjueɪʃən
republican	rɪpʌblɪkən
arrest	ərɛst
weave	wiv
bluffer	blʌfər
broaden	brɔdən
were	wɜr
curry	kɜri
contractive	kəntræktɪv
management	mænɪdʒmənt
restful	rɛstfəl
expenditure	ɪkspɛndɪtʃər
undeceive	ʌndəsiv
therewith	ðɛrwɪð
youth	juθ
sift	sɪft
boaconstrictor	boʊəkənstrɪktər
wampum	wɑmpəm
necktie	nɛktaɪ
donkey	dɒŋki
prosecution	prɒsɪkjuʃən
commingle	kəmɪŋgəl
fancy	fænsi
waggery	wægəri
cranny	kræni
war	wɔr
lappet	læpɪt
suffragist	sʌfrədʒɪst
gristle	grɪsəl
thyme	taɪm
midnight	mɪdnaɪt
thankless	θæŋkləs
manhood	mænhʊd
hundred	hʌndrəd
merchandisable	mɜrtʃəndaɪzəbəl
suffocate	sʌfəkeɪt
eliminate	ɪlɪmɪneɪt
colonnade	kɒləneɪd
shove	ʃʌv
now	naʊ
manse	mæns
pheasant	fɛzənt
